Year,Country of origin,Country of origin (ISO),Continent of Origin,Least Developed Countries (LDC) - O,Land Locked Developing Countries (LLDC) - O,Small Island Developing States (SIDS) - O,Economic Growth (from prior year) - O,Population - O,GPD LCU (Trillions) - O,% <$1.90 a day - O,% of Famine - O,Maternal Mortality (Deaths) - O,Maternal Mortality per 100k - O ,Suicide Mortality per 100k - O,Life Expectancy (Year) - O ,% Male (Pop) - O ,% Rural Population - O,Death Rate (Crude) per 1k - O ,Birth Rate (Crude) Per 1k- O,Natural Increase (Crude) per 1k - O,% Crop Production to '14-16 - O,Gov Education Budget (% of) - O,Country of asylum,Country of asylum (ISO),Continent of asylum,Least Developed Countries (LDC) - A,Land Locked Developing Countries (LLDC) - A,Small Island Developing States (SIDS) - A,Economic Growth (from prior year) - A,Population - A,GPD LCU (Trillions) - A,% <$1.90 a day - A,% of Famine - A,Maternal Mortality (Deaths) - A,Maternal Mortality per 100k - A,Suicide Mortality per 100k - A,Life Expectancy (Year) - A,% Male (Pop) - A,% Rural Population - A,Death Rate (Crude) per 1k - A,Birth Rate (Crude) Per 1k - A,Natural Increase (Crude) per 1k - A,% Crop Production to '14-16 - A,Gov Education Budget (% of) - A,Continent Move,LDC to LDC,LDC to MDC,MDC to LDC,MDC to MDC,To LDC,To MDC,Economic Growth difference,Population - Difference,GDP LCU (T) Difference,% <$1.90 a day - Difference,% of Famine - Difference,Maternal Mortality (Deaths) - Difference,Maternal Mortality per 100k - Difference,Suicide Mortality per 100k - Difference,Life Expectancy (Year) - Difference,% Male (Pop) - Difference,% Rural Population - Difference,Death Rate (Crude) per 1k - Difference,Birth Rate (Crude) Per 1k - Difference,Natural Increase (Crude) per 1k - Difference,% Crop Production to '14-16 - Difference,Gov Education Budget (% of) - Difference,Distance (KM),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Venezuelans displaced abroad,Stateless persons,hst,Others of concern,Total decisions,Decisions Per 100k,Decisions % - O
2000,Czechia,CZE,Europe,0,0,0,0.04,10255063,3.11,0,0,6,7,16.3,74.97,0.49,0.26,0.11,8.9,8.79,0.92,0.09,Morocco,MAR,Africa,0,0,0,0.02,28793672,0.46,0.06,0,1200,188,9.9,68.68,0.5,0.47,0.06,22.24,22.17,0.51,0,Europe to Africa,0,0,0,1,0,1,0.02,0.36,6.78,-0.06,0,-1194,0.04,1.65,1.09,0.98,0.56,1.67,0.4,0.4,1.81,0.09,"2,784",14,0,0,,0,0,0,14,0.14,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,Netherlands,NLD,Europe,0,0,0,0.04,15925513,0.58,0,0,26,13,9.6,77.99,0.5,0.23,0.09,13,12.91,0.97,0.11,Europe to Europe,0,0,0,1,0,1,0,0.51,0.09,0,0,-13,1.46,1.9,0.92,0.98,1.34,1.6,0.69,0.69,0.7,-0.11,"1,745",76,24,0,,0,0,0,100,1.22,0
2000,Czechia,CZE,Europe,0,0,0,0.04,10255063,3.11,0,0,6,7,16.3,74.97,0.49,0.26,0.11,8.9,8.79,0.92,0.09,Netherlands,NLD,Europe,0,0,0,0.04,15925513,0.58,0,0,26,13,9.6,77.99,0.5,0.23,0.09,13,12.91,0.97,0.11,Europe to Europe,0,0,0,1,0,1,0,0.64,5.35,0,0,-20,0.54,1.7,0.96,0.98,1.12,1.2,0.68,0.68,0.96,-0.02,"1,745",37,99,0,,0,0,0,136,1.33,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,Norway,NOR,Europe,0,0,0,0.03,4490967,2.44,0,0,3,6,13.9,78.63,0.5,0.24,0.1,13.2,13.1,0.95,0.16,Europe to Europe,0,0,0,1,0,1,0.01,1.82,0.02,0,0,10,3.17,1.31,0.91,0.98,1.3,1.44,0.68,0.68,0.71,-0.16,"2,096",12,0,0,,0,0,0,12,0.15,0
2000,Czechia,CZE,Europe,0,0,0,0.04,10255063,3.11,0,0,6,7,16.3,74.97,0.49,0.26,0.11,8.9,8.79,0.92,0.09,New Zealand,NZL,Oceania,0,0,0,0.03,3857700,0.17,0,0,7,12,12.5,78.64,0.49,0.14,0.07,14.66,14.59,0.78,0,Europe to Oceania,0,0,0,1,0,1,0.01,2.66,18.19,0,0,-1,0.58,1.3,0.95,0.99,1.86,1.53,0.61,0.6,1.19,0.09,"17,662",5,0,0,,0,0,0,5,0.05,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,Peru,PER,Americas,0,0,0,0.03,26459944,0.22,0.16,0,890,144,3.1,71.11,0.5,0.27,0.05,23.33,23.27,0.61,0.15,Europe to Americas,0,0,0,1,0,1,0.02,0.31,0.24,-0.16,0,-877,0.13,5.87,1.01,0.98,1.15,2.57,0.39,0.38,1.11,-0.15,"11,754",9,0,0,,0,0,0,9,0.11,0
2000,Czechia,CZE,Europe,0,0,0,0.04,10255063,3.11,0,0,6,7,16.3,74.97,0.49,0.26,0.11,8.9,8.79,0.92,0.09,Peru,PER,Americas,0,0,0,0.03,26459944,0.22,0.16,0,890,144,3.1,71.11,0.5,0.27,0.05,23.33,23.27,0.61,0.15,Europe to Americas,0,0,0,1,0,1,0.01,0.39,13.98,-0.16,0,-884,0.05,5.26,1.05,0.98,0.96,1.93,0.38,0.38,1.51,-0.06,"11,754",5,0,0,,0,0,0,5,0.05,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,South Africa,ZAF,Africa,0,0,0,0.04,44967713,2.83,0.35,0,1600,160,22.4,56.05,0.49,0.43,0.12,22.85,22.73,0.9,0,Europe to Africa,0,0,0,1,0,1,0,0.18,0.02,-0.35,0,-1587,0.12,0.81,1.28,0.99,0.72,1.16,0.39,0.39,0.75,0,"7,627",0,221,0,,0,0,0,221,2.7,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,Spain,ESP,Europe,0,0,0,0.05,40567864,0.88,0.01,0,19,5,8.6,78.97,0.49,0.24,0.09,9.8,9.71,0.95,0.11,Europe to Europe,0,0,0,1,0,1,-0.01,0.2,0.06,-0.01,0,-6,3.8,2.12,0.91,0.99,1.31,1.58,0.92,0.91,0.71,-0.11,"2,253",5,0,0,,0,0,0,5,0.06,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,Slovakia,SVK,Europe,0,0,0,0.01,5388720,0.04,0,0,4,8,14.2,73.05,0.49,0.44,0.1,10.2,10.1,0.73,0.07,Europe to Europe,0,0,0,1,0,1,0.03,1.52,1.24,0,0,9,2.38,1.28,0.98,1,0.71,1.44,0.88,0.88,0.93,-0.07,776,8,0,0,,0,0,0,8,0.1,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,Eswatini,SWZ,Africa,0,1,0,0.02,1005432,0.02,0.49,0,170,521,28.4,47.49,0.48,0.77,0.15,32.32,32.17,0.76,0.19,Europe to Africa,0,0,1,0,1,0,0.03,8.13,2.22,-0.49,0,-157,0.04,0.64,1.51,1.01,0.4,0.95,0.28,0.28,0.89,-0.19,"7,716",5,0,0,,0,0,0,5,0.06,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,Sweden,SWE,Europe,0,0,0,0.05,8872109,3.08,0,0,5,5,15.1,79.64,0.49,0.16,0.11,10.2,10.1,0.92,0.13,Europe to Europe,0,0,0,1,0,1,0,0.92,0.02,0,0,8,3.8,1.21,0.9,0.99,1.95,1.34,0.88,0.88,0.74,-0.13,"1,884",658,0,0,,0,0,0,658,8.05,0
2000,Czechia,CZE,Europe,0,0,0,0.04,10255063,3.11,0,0,6,7,16.3,74.97,0.49,0.26,0.11,8.9,8.79,0.92,0.09,Sweden,SWE,Europe,0,0,0,0.05,8872109,3.08,0,0,5,5,15.1,79.64,0.49,0.16,0.11,10.2,10.1,0.92,0.13,Europe to Europe,0,0,0,1,0,1,-0.01,1.16,1.01,0,0,1,1.4,1.08,0.94,0.98,1.63,1.01,0.87,0.87,1.01,-0.04,"1,884",28,0,0,,0,0,0,28,0.27,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,Switzerland,CHE,Europe,0,0,0,0.04,7184250,0.51,0,0,5,7,20.2,79.68,0.49,0.27,0.09,10.9,10.81,1.22,0.14,Europe to Europe,0,0,0,1,0,1,0.01,1.14,0.1,0,0,8,2.71,0.9,0.9,1,1.17,1.62,0.83,0.82,0.55,-0.14,"1,336",36,27,0,,0,0,0,63,0.77,0
2000,Czechia,CZE,Europe,0,0,0,0.04,10255063,3.11,0,0,6,7,16.3,74.97,0.49,0.26,0.11,8.9,8.79,0.92,0.09,Switzerland,CHE,Europe,0,0,0,0.04,7184250,0.51,0,0,5,7,20.2,79.68,0.49,0.27,0.09,10.9,10.81,1.22,0.14,Europe to Europe,0,0,0,1,0,1,0,1.43,6.07,0,0,1,1,0.81,0.94,1,0.98,1.22,0.82,0.81,0.75,-0.06,"1,336",41,0,0,,0,0,0,41,0.4,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,United States of America,USA,Americas,0,0,0,0.04,282162411,13.75,0.01,0,470,12,11,76.64,0.49,0.21,0.09,14.4,14.32,0.79,0,Europe to Americas,0,0,0,1,0,1,0.01,0.03,0,-0.01,0,-457,1.58,1.65,0.94,0.99,1.49,1.66,0.63,0.62,0.86,0,"4,464",649,600,0,,0,0,0,1249,15.29,0
2000,Czechia,CZE,Europe,0,0,0,0.04,10255063,3.11,0,0,6,7,16.3,74.97,0.49,0.26,0.11,8.9,8.79,0.92,0.09,United States of America,USA,Americas,0,0,0,0.04,282162411,13.75,0.01,0,470,12,11,76.64,0.49,0.21,0.09,14.4,14.32,0.79,0,Europe to Americas,0,0,0,1,0,1,0,0.04,0.23,-0.01,0,-464,0.58,1.48,0.98,0.99,1.24,1.25,0.62,0.61,1.17,0.09,"4,464",6,8,0,,0,0,0,14,0.14,0
2001,Bulgaria,BGR,Europe,0,0,0,0.04,8009142,0.06,0,0.04,12,18,17.5,71.77,0.49,0.31,0.14,8.5,8.36,0.74,0.09,Argentina,ARG,Americas,0,0,0,-0.04,37275644,0.46,0.11,0.03,480,67,10.3,73.76,0.49,0.11,0.08,19.33,19.25,0.64,0.16,Europe to Americas,0,0,0,1,0,1,0.08,0.21,0.12,-0.11,0.01,-468,0.27,1.7,0.97,1,2.89,1.79,0.44,0.43,1.15,-0.07,"11,934",0,5,0,,0,0,0,5,0.06,0
2001,Bulgaria,BGR,Europe,0,0,0,0.04,8009142,0.06,0,0.04,12,18,17.5,71.77,0.49,0.31,0.14,8.5,8.36,0.74,0.09,Australia,AUS,Oceania,0,0,0,0.02,19413000,1.18,0.01,0.03,15,6,12.2,79.63,0.5,0.16,0.07,12.7,12.63,0.86,0,Europe to Oceania,0,0,0,1,0,1,0.02,0.41,0.05,-0.01,0.02,-3,3,1.43,0.9,0.98,1.94,2.12,0.67,0.66,0.86,0.09,"15,341",25,20,0,,0,0,0,45,0.56,0
2001,Czechia,CZE,Europe,0,0,0,0.03,10216605,3.2,0,0.03,6,7,16.2,75.17,0.49,0.26,0.11,8.9,8.8,0.96,0.09,Australia,AUS,Oceania,0,0,0,0.02,19413000,1.18,0.01,0.03,15,6,12.2,79.63,0.5,0.16,0.07,12.7,12.63,0.86,0,Europe to Oceania,0,0,0,1,0,1,0.01,0.53,2.71,-0.01,0,-9,1.17,1.33,0.94,0.98,1.64,1.59,0.7,0.7,1.12,0.09,"15,341",8,5,0,,0,0,0,13,0.13,0
2001,Bulgaria,BGR,Europe,0,0,0,0.04,8009142,0.06,0,0.04,12,18,17.5,71.77,0.49,0.31,0.14,8.5,8.36,0.74,0.09,Austria,AUT,Europe,0,0,0,0.01,8042293,0.28,0,0.03,5,6,18.6,78.58,0.49,0.4,0.09,9.4,9.31,1.05,0.11,Europe to Europe,0,0,0,1,0,1,0.03,1,0.2,0,0.02,7,3,0.94,0.91,1,0.77,1.51,0.9,0.9,0.7,-0.02,818,22,0,0,,0,0,0,22,0.27,0
2001,Czechia,CZE,Europe,0,0,0,0.03,10216605,3.2,0,0.03,6,7,16.2,75.17,0.49,0.26,0.11,8.9,8.8,0.96,0.09,Austria,AUT,Europe,0,0,0,0.01,8042293,0.28,0,0.03,5,6,18.6,78.58,0.49,0.4,0.09,9.4,9.31,1.05,0.11,Europe to Europe,0,0,0,1,0,1,0.02,1.27,11.27,0,0,1,1.17,0.87,0.96,1,0.65,1.13,0.95,0.94,0.92,-0.02,818,7,0,0,,0,0,0,7,0.07,0
